,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
"gene_id ""PDENDC454_26483""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26483""; ",406.1113864,1.727320509,0.224559933,7.692024528,1.45E-14,3.90E-12,20up
"gene_id ""PDENDC454_26133""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26133""; partial ""true""; ",173.5508332,1.311692336,0.353649516,3.709017756,0.000208065,0.003466888,20up
"gene_id ""PDENDC454_25109""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25109""; ",1327.170571,1.786395105,0.309963299,5.763247163,8.25E-09,6.25E-07,20up
"gene_id ""PDENDC454_25114""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25114""; ",329.712385,1.412570767,0.317111783,4.454488426,8.41E-06,0.00023472,20up
"gene_id ""PDENDC454_25119""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25119""; ",488.5308008,1.421074181,0.336470583,4.223472278,2.41E-05,0.000562927,20up
"gene_id ""PDENDC454_25124""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25124""; ",165.3151545,1.31609613,0.382151583,3.443911231,0.000573364,0.007892186,20up
"gene_id ""PDENDC454_24458""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24458""; ",281.2489939,1.281926346,0.26876616,4.76967169,1.85E-06,6.76E-05,20up
"gene_id ""PDENDC454_24218""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24218""; ",76.65090936,2.640073245,0.655158812,4.029669136,5.59E-05,0.001143018,20up
"gene_id ""PDENDC454_24223""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24223""; ",93.19889732,1.978828539,0.522271763,3.788886706,0.000151324,0.00267903,20up
"gene_id ""PDENDC454_23234""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23234""; ",61.52027001,1.23683767,0.286457816,4.317695671,1.58E-05,0.000400265,20up
"gene_id ""PDENDC454_23169""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23169""; ",1245.720604,1.570455972,0.483255635,3.249741663,0.001155099,0.014258583,20up
"gene_id ""PDENDC454_23179""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23179""; ",339.6833733,1.582757994,0.520454317,3.041108399,0.00235709,0.025371712,20up
"gene_id ""PDENDC454_23204""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23204""; ",788.3385839,1.176596586,0.414495208,2.838625304,0.004530833,0.04280941,20up
"gene_id ""PDENDC454_23054""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23054""; ",1182.801429,1.648214084,0.27385019,6.018670591,1.76E-09,1.75E-07,20up
"gene_id ""PDENDC454_23004""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23004""; ",699.1553567,1.915584626,0.3394244,5.643626762,1.67E-08,1.12E-06,20up
"gene_id ""PDENDC454_23009""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23009""; ",418.0685679,1.777097559,0.304114887,5.843507285,5.11E-09,4.23E-07,20up
"gene_id ""PDENDC454_23014""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23014""; ",1135.661823,1.702244822,0.29178855,5.833830084,5.42E-09,4.42E-07,20up
"gene_id ""PDENDC454_22789""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22789""; ",1302.108166,1.307553439,0.290296182,4.504204745,6.66E-06,0.000193816,20up
"gene_id ""PDENDC454_22794""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22794""; ",658.4694927,1.248405177,0.25090695,4.975570333,6.51E-07,2.78E-05,20up
"gene_id ""PDENDC454_22799""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22799""; ",1613.507174,1.204271526,0.254538691,4.731192425,2.23E-06,7.85E-05,20up
"gene_id ""PDENDC454_22844""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22844""; ",84.197253,1.336786394,0.444394586,3.008106837,0.002628807,0.027530004,20up
"gene_id ""PDENDC454_22849""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22849""; ",96.76545276,1.452637298,0.326326958,4.451478074,8.53E-06,0.00023659,20up
"gene_id ""PDENDC454_22854""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22854""; ",860.1301984,1.350905284,0.305307662,4.424734293,9.66E-06,0.000262471,20up
"gene_id ""PDENDC454_22859""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22859""; ",125.5468291,1.055995184,0.335793019,3.144780044,0.001662117,0.019196387,20up
"gene_id ""PDENDC454_22494""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22494""; ",753.8920482,1.004538295,0.290275551,3.460636937,0.000538899,0.007512862,20up
"gene_id ""PDENDC454_22204""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22204""; ",97.45769953,1.068480237,0.372427214,2.86896391,0.004118188,0.0395808,20up
"gene_id ""PDENDC454_21944""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21944""; ",213.4146317,1.046923081,0.294662612,3.552955277,0.000380929,0.005674585,20up
"gene_id ""PDENDC454_21604""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21604""; ",234.3868614,1.913194767,0.287845586,6.646601017,3.00E-11,4.38E-09,20up
"gene_id ""PDENDC454_21234""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21234""; ",85.4424423,1.157342163,0.340996503,3.394000097,0.000688797,0.009221651,20up
"gene_id ""PDENDC454_21047""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21047""; ",452.4218236,1.156523472,0.416147058,2.779122067,0.005450604,0.048973539,20up
"gene_id ""PDENDC454_21052""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21052""; ",231.5698162,1.522451459,0.462673337,3.290553698,0.000999904,0.01278174,20up
"gene_id ""PDENDC454_20972""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_20972""; ",3240.297629,1.458036556,0.327333102,4.454289976,8.42E-06,0.00023472,20up
"gene_id ""PDENDC454_20235""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_20235""; ",70.07587281,1.393030201,0.485232361,2.870851805,0.004093674,0.039484145,20up
"gene_id ""PDENDC454_20240""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_20240""; ",172.6974857,1.22384611,0.377076154,3.245620542,0.001171949,0.014433482,20up
"gene_id ""PDENDC454_20245""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_20245""; ",74.45300071,1.346588037,0.431967286,3.117338004,0.001824922,0.020633888,20up
"gene_id ""PDENDC454_19433""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19433""; ",383.4471579,1.007640098,0.250750581,4.01849556,5.86E-05,0.00118507,20up
"gene_id ""PDENDC454_19023""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19023""; ",81.53053917,1.328358766,0.353868934,3.753815719,0.000174163,0.00300431,20up
"gene_id ""PDENDC454_18593""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_18593""; ",87.56706776,1.3012923,0.298526237,4.35905504,1.31E-05,0.000339626,20up
"gene_id ""PDENDC454_17573""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17573""; ",981.6920364,2.215004187,0.279871387,7.914364562,2.49E-15,7.87E-13,20up
"gene_id ""PDENDC454_17678""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17678""; ",243.4494688,1.133782622,0.326158265,3.476173211,0.000508624,0.007203717,20up
"gene_id ""PDENDC454_17703""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17703""; ",285.2496236,1.216692384,0.275400597,4.417900312,9.97E-06,0.000268197,20up
"gene_id ""PDENDC454_17173""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17173""; ",47.96686346,3.034248429,0.8055708,3.766581942,0.000165498,0.002873255,20up
"gene_id ""PDENDC454_17198""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17198""; ",43.81243352,3.292551318,0.99421192,3.311719815,0.000927244,0.011938816,20up
"gene_id ""PDENDC454_16753""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16753""; ",58.17369203,1.258742752,0.415181584,3.0317885,0.002431095,0.025960619,20up
"gene_id ""PDENDC454_16563""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16563""; ",231.0402961,2.470253052,0.436962495,5.653238163,1.57E-08,1.09E-06,20up
"gene_id ""PDENDC454_16568""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16568""; ",97.50923476,3.371054978,0.563436953,5.98302074,2.19E-09,2.11E-07,20up
"gene_id ""PDENDC454_16573""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16573""; ",64.97538859,2.963551758,0.525389941,5.640670909,1.69E-08,1.13E-06,20up
"gene_id ""PDENDC454_16188""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16188""; ",54.49417366,1.245633443,0.445602638,2.795390637,0.005183704,0.047366203,20up
"gene_id ""PDENDC454_15909""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15909""; ",3300.654675,1.151461245,0.333828431,3.44926057,0.000562124,0.007757311,20up
"gene_id ""PDENDC454_15954""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15954""; ",7537.659813,2.095934468,0.463688609,4.520133614,6.18E-06,0.000182753,20up
"gene_id ""PDENDC454_15959""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15959""; ",3410.586591,2.997193524,0.390440868,7.676433925,1.64E-14,4.19E-12,20up
"gene_id ""PDENDC454_15964""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15964""; ",1908.283372,2.88050457,0.381398449,7.552481083,4.27E-14,1.04E-11,20up
"gene_id ""PDENDC454_15969""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15969""; ",460.554616,2.583116832,0.348529769,7.411466868,1.25E-13,2.69E-11,20up
"gene_id ""PDENDC454_15974""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15974""; ",2498.864273,1.474511776,0.289295869,5.096898839,3.45E-07,1.60E-05,20up
"gene_id ""PDENDC454_15842""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15842""; ",650.5924106,1.301872909,0.269800988,4.825308164,1.40E-06,5.30E-05,20up
"gene_id ""PDENDC454_15612""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15612""; ",19.77340745,1.639955559,0.499266489,3.284729888,0.001020802,0.012957442,20up
"gene_id ""PDENDC454_15617""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15617""; ",132.9035297,5.054537879,0.51825422,9.753008623,1.79E-22,2.41E-19,20up
"gene_id ""PDENDC454_15357""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15357""; ",109.1293126,1.384894911,0.361354814,3.832507157,0.000126844,0.002298565,20up
"gene_id ""PDENDC454_15362""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15362""; ",833.5307351,1.754752606,0.322764571,5.436633276,5.43E-08,3.21E-06,20up
"gene_id ""PDENDC454_14987""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14987""; ",1293.885148,1.505850627,0.325854874,4.621230945,3.81E-06,0.000122207,20up
"gene_id ""PDENDC454_14992""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14992""; ",3987.929538,1.360377937,0.33195203,4.098116036,4.17E-05,0.000918748,20up
"gene_id ""PDENDC454_14997""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14997""; ",1114.798024,1.241630579,0.366411282,3.388625403,0.000702439,0.00938096,20up
"gene_id ""PDENDC454_15002""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15002""; ",1112.699145,1.126510376,0.353186904,3.189558744,0.001424902,0.017004038,20up
"gene_id ""PDENDC454_15007""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15007""; ",2129.388976,1.055356349,0.357447296,2.952481001,0.003152315,0.032254292,20up
"gene_id ""PDENDC454_15022""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15022""; ",74.67209953,1.602620508,0.519509546,3.08487211,0.002036397,0.022504904,20up
"gene_id ""PDENDC454_15037""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15037""; ",1338.268542,1.106453158,0.349607478,3.16484408,0.001551661,0.018193983,20up
"gene_id ""PDENDC454_15052""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15052""; ",589.9434538,1.042035438,0.340312613,3.061994759,0.002198673,0.023905572,20up
"gene_id ""PDENDC454_15057""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15057""; ",721.3845307,1.248564758,0.340665587,3.665074505,0.000247267,0.003972504,20up
"gene_id ""PDENDC454_15062""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15062""; ",291.9302386,1.288906749,0.290369805,4.438845659,9.04E-06,0.000248348,20up
"gene_id ""PDENDC454_15067""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15067""; ",392.1736625,1.272137976,0.295841592,4.300064666,1.71E-05,0.00042318,20up
"gene_id ""PDENDC454_15122""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15122""; ",826.8455311,1.392035342,0.290830581,4.786413232,1.70E-06,6.35E-05,20up
"gene_id ""PDENDC454_14937""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14937""; ",670.1756558,1.081951027,0.258624578,4.18348108,2.87E-05,0.000660282,20up
"gene_id ""PDENDC454_14942""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14942""; ",536.249539,1.163329392,0.311454789,3.73514691,0.000187606,0.003185153,20up
"gene_id ""PDENDC454_14947""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14947""; partial ""true""; ",1223.962406,1.300340434,0.293765576,4.426456127,9.58E-06,0.000261707,20up
"gene_id ""PDENDC454_14747""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14747""; ",297.5605789,1.641049599,0.489995986,3.349108252,0.000810721,0.010655595,20up
"gene_id ""PDENDC454_14752""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14752""; ",232.7614907,2.35760831,0.438095001,5.381500147,7.39E-08,4.27E-06,20up
"gene_id ""PDENDC454_14757""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14757""; ",244.5147958,3.307278291,0.493908615,6.696134048,2.14E-11,3.29E-09,20up
"gene_id ""PDENDC454_14302""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14302""; ",119.4174969,1.596303429,0.433608364,3.681440587,0.00023192,0.003793898,20up
"gene_id ""PDENDC454_14307""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14307""; ",190.6300936,1.125971278,0.352473685,3.194483236,0.001400814,0.016791051,20up
"gene_id ""PDENDC454_14312""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14312""; ",68.59241212,2.067571849,0.44710019,4.624403868,3.76E-06,0.000121072,20up
"gene_id ""PDENDC454_13700""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13700""; ",229.3034722,1.268903389,0.284322993,4.462894027,8.09E-06,0.000229047,20up
"gene_id ""PDENDC454_13705""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13705""; ",401.4917549,1.148224209,0.219123068,5.240088222,1.60E-07,8.23E-06,20up
"gene_id ""PDENDC454_13505""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13505""; ",14.52680756,3.719436245,1.284648693,2.895294462,0.00378803,0.037371598,20up
"gene_id ""PDENDC454_13525""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13525""; ",88.79763071,1.120096956,0.308980268,3.625140729,0.000288804,0.004505345,20up
"gene_id ""PDENDC454_12640""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12640""; ",2228.028545,1.059111903,0.31393969,3.373615814,0.000741878,0.009858738,20up
"gene_id ""PDENDC454_12785""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12785""; ",671.7036541,2.044960457,0.24564115,8.324991368,8.43E-17,3.24E-14,20up
"gene_id ""PDENDC454_12790""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12790""; ",15.45654565,4.290168725,0.747161331,5.741957653,9.36E-09,7.00E-07,20up
"gene_id ""PDENDC454_12830""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12830""; ",1668.556734,1.388016568,0.199942417,6.942081571,3.86E-12,6.75E-10,20up
"gene_id ""PDENDC454_12835""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12835""; ",1331.214548,1.277338764,0.209962342,6.083656493,1.17E-09,1.26E-07,20up
"gene_id ""PDENDC454_12840""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12840""; ",366.1304703,1.09245958,0.203759595,5.361512328,8.25E-08,4.68E-06,20up
"gene_id ""PDENDC454_12855""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12855""; ",6967.266241,1.584963781,0.203978146,7.770262713,7.83E-15,2.22E-12,20up
"gene_id ""PDENDC454_12860""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12860""; ",2738.22716,1.544556811,0.210474906,7.33843687,2.16E-13,4.31E-11,20up
"gene_id ""PDENDC454_12865""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12865""; ",22575.57284,1.488496189,0.253247682,5.877630063,4.16E-09,3.61E-07,20up
"gene_id ""PDENDC454_12870""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12870""; ",13850.27806,1.310256461,0.206068341,6.358358847,2.04E-10,2.55E-08,20up
"gene_id ""PDENDC454_12900""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12900""; ",508.2493646,1.01808414,0.265544087,3.833955232,0.000126099,0.002292788,20up
"gene_id ""PDENDC454_12990""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12990""; ",45.20943276,1.279918624,0.406508399,3.148566244,0.001640735,0.018990188,20up
"gene_id ""PDENDC454_12405""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12405""; ",2450.620877,1.652316136,0.186431956,8.862837518,7.80E-19,4.20E-16,20up
"gene_id ""PDENDC454_11715""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11715""; ",98.35255033,1.301067083,0.409447683,3.177614963,0.001484918,0.017564459,20up
"gene_id ""PDENDC454_11890""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11890""; ",393.2020188,1.690488938,0.488823596,3.458280147,0.000543636,0.007540845,20up
"gene_id ""PDENDC454_11895""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11895""; ",361.5011379,2.022986087,0.506404969,3.994799046,6.47E-05,0.001271825,20up
"gene_id ""PDENDC454_11900""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11900""; ",910.9942083,2.067959422,0.736796666,2.80668944,0.005005347,0.046335037,20up
"gene_id ""PDENDC454_11905""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11905""; ",148.0273373,1.681737412,0.480743938,3.498197851,0.000468414,0.006740646,20up
"gene_id ""PDENDC454_11910""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11910""; ",119.6282428,1.485699433,0.422434094,3.516996982,0.000436459,0.006348705,20up
"gene_id ""PDENDC454_12030""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12030""; ",1046.806089,2.068203615,0.303394664,6.816875369,9.30E-12,1.52E-09,20up
"gene_id ""PDENDC454_10960""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_10960""; ",171.557092,1.129157518,0.323407661,3.491437131,0.00048043,0.006858546,20up
"gene_id ""PDENDC454_10170""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_10170""; ",236.7821143,1.311877707,0.279089034,4.700570591,2.59E-06,8.95E-05,20up
"gene_id ""PDENDC454_10345""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_10345""; ",744.928278,1.163271918,0.255520133,4.552564628,5.30E-06,0.000160238,20up
"gene_id ""PDENDC454_09110""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_09110""; ",1921.251762,2.048179412,0.442797642,4.625542725,3.74E-06,0.000121072,20up
