GeneID,20XA,20XB,20XD,20VB,20VC,20VD,44XC,44XD,44XE,44VA,44VC,44VE
"gene_id ""PDENDC454_28425""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28425""; ",803,815,906,526,1068,739,440,582,658,420,441,402
"gene_id ""PDENDC454_28430""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28430""; ",9264,9846,12275,5635,7766,6814,7598,6680,7757,7014,7578,6957
"gene_id ""PDENDC454_28435""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28435""; ",21490,25794,27155,15906,19761,17522,14398,18983,17451,12749,22524,19520
"gene_id ""PDENDC454_28440""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28440""; ",5421,6264,7850,3137,4722,4400,5109,6742,7074,4160,8857,6200
"gene_id ""PDENDC454_28445""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28445""; ",14140,14990,14152,7279,10308,8504,8230,11341,10204,6675,12685,10566
"gene_id ""PDENDC454_28450""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28450""; ",2273,2492,2789,1051,1732,1387,1623,2193,2352,1331,2562,1855
"gene_id ""PDENDC454_28455""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28455""; ",3151,3635,3392,1604,2366,1927,1826,2372,2400,1847,2909,2376
"gene_id ""PDENDC454_28460""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28460""; ",2689,2723,2775,1478,2195,1750,1562,2195,2339,1778,2585,1989
"gene_id ""PDENDC454_28465""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28465""; ",4783,5187,4946,2830,4588,3356,2524,3372,4283,2822,3497,2513
"gene_id ""PDENDC454_28470""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28470""; ",1170,844,1013,457,865,561,477,674,1114,805,552,413
"gene_id ""PDENDC454_28475""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28475""; ",518,410,396,222,470,254,328,326,632,352,254,248
"gene_id ""PDENDC454_28480""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28480""; ",1290,1394,1274,856,1806,1139,845,811,815,729,583,806
"gene_id ""PDENDC454_28485""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28485""; ",836,839,805,520,893,662,320,304,414,309,213,303
"gene_id ""PDENDC454_28490""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28490""; ",8445,8829,6797,5889,10245,6265,3598,4880,4913,3316,4649,5247
"gene_id ""PDENDC454_28495""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28495""; ",1954,2252,1793,1812,3604,1835,1173,930,1373,1050,900,1170
"gene_id ""PDENDC454_28500""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28500""; ",1305,1208,1252,1014,2050,1227,816,655,995,748,670,642
"gene_id ""PDENDC454_28505""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28505""; ",9,36,17,7,30,28,10,20,25,29,13,22
"gene_id ""PDENDC454_28510""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28510""; ",348,379,264,237,417,252,148,207,322,160,153,202
"gene_id ""PDENDC454_28515""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28515""; ",337,232,270,175,357,226,197,184,248,181,125,211
"gene_id ""PDENDC454_28520""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28520""; ",2177,2205,1509,1282,2097,1521,1571,1410,1864,1349,974,1575
"gene_id ""PDENDC454_28525""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28525""; ",76,16,31,7,7,8,106,134,273,136,72,74
"gene_id ""PDENDC454_28530""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28530""; ",1693,1736,1111,1368,2263,1576,949,868,912,813,640,1393
"gene_id ""PDENDC454_28535""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28535""; ",973,1073,803,609,1109,734,602,616,663,461,539,687
"gene_id ""PDENDC454_28540""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28540""; ",634,640,611,400,606,434,240,293,320,227,231,303
"gene_id ""PDENDC454_28545""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28545""; ",124,85,75,47,118,100,55,71,50,27,23,30
"gene_id ""PDENDC454_28550""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28550""; ",947,1149,843,762,1434,824,402,408,625,536,272,436
"gene_id ""PDENDC454_28300""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28300""; ",1756,1742,1206,1191,1884,1344,914,754,925,798,737,949
"gene_id ""PDENDC454_28305""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28305""; ",321,137,322,48,55,62,1274,1203,1949,532,667,482
"gene_id ""PDENDC454_28310""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28310""; ",1748,1975,1617,1296,2605,1539,981,1011,1061,854,996,1097
"gene_id ""PDENDC454_28315""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28315""; ",1958,1610,1531,1051,2081,1499,916,1005,1526,1043,678,683
"gene_id ""PDENDC454_28320""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28320""; ",494,396,402,229,596,353,242,243,340,349,158,188
"gene_id ""PDENDC454_28325""; transcript_id """"; gbkey ""Gene""; gene ""gmk""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28325""; ",2278,1873,1842,1215,2458,1388,1158,1079,1593,1025,826,729
"gene_id ""PDENDC454_28330""; transcript_id """"; gbkey ""Gene""; gene ""rpoZ""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28330""; ",133,113,55,36,112,67,21,47,79,31,41,45
"gene_id ""PDENDC454_28335""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28335""; ",535,602,476,379,745,475,272,282,380,259,228,310
"gene_id ""PDENDC454_28340""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28340""; ",2611,2927,2488,2068,3410,2377,1721,1937,2195,1265,1392,1815
"gene_id ""PDENDC454_28345""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28345""; ",173,198,165,133,241,177,133,161,154,114,129,156
"gene_id ""PDENDC454_28350""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28350""; ",907,838,761,635,798,725,374,427,376,320,344,625
"gene_id ""PDENDC454_28355""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28355""; ",3594,4331,2989,2827,3976,3097,2039,2343,2187,1718,1983,2909
"gene_id ""PDENDC454_28230""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28230""; ",1521,1447,1409,966,2012,1231,805,952,1128,827,801,1006
"gene_id ""PDENDC454_28235""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28235""; ",538,531,545,354,684,382,299,231,388,252,257,313
"gene_id ""PDENDC454_28240""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28240""; ",681,726,346,997,2337,1172,208,340,287,259,239,291
"gene_id ""PDENDC454_28245""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28245""; ",576,893,357,1121,2316,1308,269,320,283,225,233,273
"gene_id ""PDENDC454_28250""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28250""; ",1365,1909,550,2112,3823,2457,369,428,292,263,273,434
"gene_id ""PDENDC454_28255""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28255""; ",856,1195,456,1364,2216,1644,164,166,216,166,152,161
"gene_id ""PDENDC454_28260""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28260""; ",253,174,212,160,321,233,246,237,603,270,158,130
"gene_id ""PDENDC454_28265""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28265""; ",1156,591,602,568,1210,658,645,551,1348,867,253,304
"gene_id ""PDENDC454_28270""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28270""; ",836,560,425,380,833,391,313,283,1032,574,254,211
"gene_id ""PDENDC454_28275""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28275""; ",1367,1222,775,724,1377,753,594,727,1259,843,546,700
"gene_id ""PDENDC454_28280""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28280""; ",506,437,486,347,958,530,231,191,394,241,164,87
"gene_id ""PDENDC454_28285""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28285""; ",794,747,944,614,1691,1179,373,376,765,399,377,188
"gene_id ""PDENDC454_28290""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28290""; ",520,546,582,447,1096,661,2254,1559,3080,883,538,708
"gene_id ""PDENDC454_28295""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28295""; partial ""true""; ",388,305,364,265,641,403,451,392,757,299,148,138
"gene_id ""PDENDC454_28105""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28105""; ",55,25,38,16,22,20,29,34,41,32,27,47
"gene_id ""PDENDC454_28110""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28110""; ",26,20,39,7,21,39,30,7,5,16,15,13
"gene_id ""PDENDC454_28115""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28115""; ",27,7,37,13,26,9,51,10,18,38,10,35
"gene_id ""PDENDC454_28120""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28120""; ",26,16,54,21,22,13,43,23,54,29,6,30
"gene_id ""PDENDC454_28125""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28125""; ",85,32,80,21,50,62,21,53,51,33,12,44
"gene_id ""PDENDC454_28130""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28130""; ",9,0,6,1,11,5,2,2,3,12,1,6
"gene_id ""PDENDC454_28135""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28135""; ",48,46,68,32,118,90,74,22,41,31,30,34
"gene_id ""PDENDC454_28140""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28140""; ",4,13,29,13,38,10,31,12,17,26,11,26
"gene_id ""PDENDC454_28145""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28145""; ",12,1,1,3,2,0,13,2,32,20,9,12
"gene_id ""PDENDC454_28150""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28150""; ",534,458,491,340,824,395,308,291,434,346,116,193
"gene_id ""PDENDC454_28155""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28155""; ",194,137,178,101,221,150,133,133,192,137,93,157
"gene_id ""PDENDC454_28160""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28160""; ",2648,2628,1702,1500,2445,1554,1017,1024,1366,1050,1187,1222
"gene_id ""PDENDC454_28165""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28165""; ",111,126,106,67,151,85,51,68,77,76,77,83
"gene_id ""PDENDC454_28170""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28170""; ",1089,1029,1140,669,1292,1025,694,726,968,797,735,718
"gene_id ""PDENDC454_28175""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28175""; ",149,101,141,81,161,111,115,114,130,168,99,117
"gene_id ""PDENDC454_28180""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28180""; ",14,39,28,25,37,16,44,22,37,15,14,29
"gene_id ""PDENDC454_28185""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28185""; ",7,17,8,11,52,9,18,28,4,41,2,25
"gene_id ""PDENDC454_28190""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28190""; ",11,20,9,33,51,32,29,16,23,34,11,60
"gene_id ""PDENDC454_28195""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28195""; ",50,56,36,33,101,37,75,22,29,51,39,34
"gene_id ""PDENDC454_28200""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28200""; ",1618,1343,1114,802,1550,806,1125,1012,1720,1629,710,833
"gene_id ""PDENDC454_28205""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28205""; ",8792,13205,8031,9644,13519,9335,2828,3943,3886,2644,4102,4462
"gene_id ""PDENDC454_28210""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28210""; ",16084,20077,11561,14420,18740,13393,4066,5226,5275,3557,5201,6214
"gene_id ""PDENDC454_28215""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28215""; ",7131,8085,5378,5360,8145,5395,3076,3021,4856,2621,2680,2679
"gene_id ""PDENDC454_28220""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28220""; ",29,30,30,11,34,17,93,88,153,71,41,71
"gene_id ""PDENDC454_28225""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28225""; ",186,215,325,143,277,221,230,231,296,158,216,219
"gene_id ""PDENDC454_28035""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28035""; ",213,242,245,143,259,149,226,233,255,201,216,263
"gene_id ""PDENDC454_28040""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28040""; ",547,446,462,377,662,314,524,413,623,405,364,451
"gene_id ""PDENDC454_28045""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28045""; ",313,192,175,160,253,159,192,165,250,183,83,97
"gene_id ""PDENDC454_28050""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28050""; ",1135,946,1204,623,1423,963,825,840,1756,939,941,555
"gene_id ""PDENDC454_28055""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28055""; ",1036,764,1058,494,1138,896,783,671,1513,1041,661,446
"gene_id ""PDENDC454_28060""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28060""; ",93,101,79,83,134,95,183,163,200,200,73,122
"gene_id ""PDENDC454_28065""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28065""; ",98,38,54,15,93,26,35,61,64,61,12,42
"gene_id ""PDENDC454_28070""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28070""; ",120,107,71,46,158,66,104,93,100,95,43,104
"gene_id ""PDENDC454_28075""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28075""; ",170,170,171,143,237,172,130,116,194,177,75,163
"gene_id ""PDENDC454_28080""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28080""; ",449,554,526,301,549,349,600,522,435,474,368,703
"gene_id ""PDENDC454_28085""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28085""; ",46,43,36,21,47,18,32,31,49,35,17,29
"gene_id ""PDENDC454_28090""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28090""; ",61,82,30,47,77,34,53,55,58,43,34,80
"gene_id ""PDENDC454_28095""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28095""; ",1403,1845,1570,1485,2888,1787,879,997,1217,728,871,1009
